epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.58031,1.0917,3.97124,0.52959,0.95216,1.49748,0.92621,0.89788,0.90732,0.66795,0.8464,0.5,0.53459,0.35189,0.89854,3.52132,0.34217,0.59087,1.05725,0,0,0
2,5.1489,1.70256,2.63929,0.45516,1.15855,1.75809,0.92665,0.92857,0.90728,0.66818,0.84405,0.5,0.53446,0.35176,0.90384,3.57431,0.3504,0.58371,1.05576,1.9802e-05,1.9802e-05,1.9802e-05
3,5.75453,1.49303,1.53217,0.27461,1.14829,1.58263,0.91144,0.92857,0.90726,0.6681,0.842,0.5,0.53442,0.35172,0.90252,3.58257,0.35422,0.58208,1.0547,3.9208e-05,3.9208e-05,3.9208e-05
4,6.03497,1.34678,4.42572,0.52104,1.11996,1.31247,0.90297,0.92857,0.90729,0.66819,0.84078,0.5,0.53449,0.35177,0.89776,3.58707,0.35674,0.58163,1.05408,5.8218e-05,5.8218e-05,5.8218e-05
5,6.33114,1.2433,4.49659,0.38903,1.23349,1.30343,0.90165,0.92857,0.90729,0.66841,0.83964,0.5,0.53449,0.35176,0.9012,3.5872,0.35799,0.57698,1.05485,7.6832e-05,7.6832e-05,7.6832e-05
6,6.70744,0.90156,3.50275,0.27786,0.73196,1.15552,0.78668,0.85714,0.85063,0.66805,0.97239,0.57143,0.63443,0.34504,0.91619,3.62091,0.36996,0.61456,1.06358,9.505e-05,9.505e-05,9.505e-05
7,7.10877,1.09707,3.44663,0.27961,0.99632,1.24404,0.78341,0.85714,0.85028,0.64613,0.96933,0.57143,0.63495,0.32948,0.94513,3.68358,0.37703,0.64609,1.08064,0.000112872,0.000112872,0.000112872
8,7.56199,1.13547,3.2637,0.4343,1.28885,1.81917,0.75946,0.78571,0.85387,0.6328,1,0.61829,0.65212,0.3008,1.04752,3.93427,0.37586,0.74346,1.13494,0.000130298,0.000130298,0.000130298
9,7.99027,1.2724,4.82014,0.52996,1.73359,1.32388,1,0.63365,0.88697,0.61757,0.76567,0.57143,0.55777,0.27912,1.07715,4.15366,0.37101,0.84328,1.18541,0.000147328,0.000147328,0.000147328
10,8.45368,1.27954,3.28902,0.30585,0.8429,1.4194,0.84326,0.76962,0.87606,0.57761,0.71818,0.64286,0.6261,0.26455,1.09401,4.40346,0.37008,0.93352,1.22072,0.000163962,0.000163962,0.000163962
11,9.02032,1.61096,3.55804,0.40906,1.14596,1.72011,0.80957,0.71429,0.76113,0.54718,0.72652,0.42857,0.42728,0.2095,1.16739,4.71285,0.37386,1.06417,1.29792,0.0001802,0.0001802,0.0001802
12,9.45693,0.89496,3.05573,0.33241,0.81521,1.11663,0.85971,0.78571,0.79404,0.52132,0.72879,0.42857,0.43363,0.22846,1.245,4.78847,0.39012,1.10107,1.37021,0.000196042,0.000196042,0.000196042
13,9.97604,0.85175,1.7469,0.34872,0.57681,1.02123,0.82802,0.68924,0.80515,0.49392,0.86252,0.5,0.47805,0.24874,1.22132,4.94062,0.41304,1.09755,1.37684,0.000211488,0.000211488,0.000211488
14,10.4526,0.82639,1.23032,0.31988,0.6502,1.10145,0.97229,0.5,0.74609,0.50875,0.67301,0.5,0.46392,0.2333,1.23947,5.09959,0.43385,1.11317,1.38057,0.000226538,0.000226538,0.000226538
15,10.9001,1.07124,2.51891,0.39053,0.78086,1.24404,0.63519,0.7473,0.70763,0.47128,0.60941,0.5,0.4563,0.2297,1.27438,5.25402,0.4491,1.26339,1.38774,0.000241192,0.000241192,0.000241192
16,11.3261,0.82471,1.73392,0.28176,0.61147,1.04949,0.59746,0.71429,0.66893,0.42217,0.78154,0.35714,0.42796,0.19775,1.29537,5.54205,0.45876,1.50586,1.43488,0.00025545,0.00025545,0.00025545
17,11.7305,1.15014,2.32515,0.32676,0.69487,1.15164,0.51098,0.67267,0.6573,0.37307,0.85631,0.35714,0.4413,0.16992,1.4234,5.70092,0.46183,1.71984,1.54477,0.000269312,0.000269312,0.000269312
18,12.1305,0.87809,1.85017,0.24734,0.91341,1.26134,0.51098,0.67267,0.6573,0.37307,0.85631,0.35714,0.4413,0.16992,1.4234,5.70092,0.46183,1.71984,1.54477,0.000282778,0.000282778,0.000282778
